loan_default,loan_purpose,missed_payment_2_yr,loan_amount,interest_rate,installment,annual_income,debt_to_income
no,debt_consolidation,no,25000,5.47,855.42,62823,39.39
yes,medical,no,10000,10.25,363.79,40000,24.06
no,small_business,no,13000,6.22,441.73,65000,13.96
no,small_business,no,36000,5.97,1152.01,125000,8.09
yes,small_business,yes,12000,11.75,307.67,65000,20.13
yes,medical,no,13000,13.25,333.31,87000,18.41
no,debt_consolidation,no,10000,10.469999999999999,342.12,120000,12.79
no,debt_consolidation,no,40000,7.97,972.94,90000,20.59
no,debt_consolidation,yes,16000,4.72,519.44,113409,19.92
no,small_business,no,12000,7.47,375.88,76000,25.09
no,home_improvement,no,5000,9.969999999999999,156.62,50000,7.24
yes,medical,no,19000,11,523.15,24000,21.15
no,credit_card,yes,10000,16.5,335.12,100000,4.04
no,debt_consolidation,no,22000,16,719.22,92000,13.03
no,debt_consolidation,no,4000,13,129.86,48000,14.58
no,medical,no,12000,7.97,398.46,35000,10.29
no,small_business,no,12000,15.5,239.61,106000,21.06
no,home_improvement,no,5000,11.719999999999999,156.62,58380,10.11
yes,medical,no,24000,18.75,729.56,46128,34
no,small_business,no,15000,5.97,451.73,52000,17.4
no,small_business,yes,16000,8.719999999999999,481.77,54625,24.67
no,debt_consolidation,yes,10000,6.72,346.9,30000,10.88
no,home_improvement,yes,35000,11.969999999999999,1120.18,185000,28.52
yes,medical,no,10000,11.5,259.58,66920,12.32
no,medical,no,10000,7.22,351.67,78000,12.29
no,debt_consolidation,yes,19200,9.719999999999999,643.33,32000,33.27
yes,small_business,yes,24000,11.5,702.33,80000,6.39
no,debt_consolidation,no,10000,6.97,339.79,12000,5.2
no,credit_card,no,12000,8.469999999999999,365.45,92000,16.51
no,medical,no,11700,8.219999999999999,260.21,55000,18.92
no,small_business,no,12000,10.969999999999999,384.06,50000,20.48
no,credit_card,no,2000,9.469999999999999,64.93,36000,12.8
no,medical,no,5000,7.22,161.15,110000,5.48
no,home_improvement,no,18000,5.47,553.41,78000,15.54
yes,credit_card,no,5000,15.25,189.54,30000,28.68
no,credit_card,no,24000,5.97,730.89,60000,27.28
yes,credit_card,no,27000,13.75,774.86,125000,4.63
yes,medical,no,25000,14.5,640.98,58500,18.17
no,home_improvement,yes,12500,16,384.37,90000,7.49
no,debt_consolidation,no,7200,9.219999999999999,235.42,71000,25.56
no,debt_consolidation,no,4500,6.72,144.01,13728,14.16
no,small_business,no,4000,8.219999999999999,122.98,30000,13.12
yes,credit_card,no,13200,16.75,493.19,53000,35.53
no,debt_consolidation,no,11000,7.72,368.63,69000,27.43
no,home_improvement,no,16000,5.72,481.84,114416,3.3
yes,debt_consolidation,no,8000,11.5,293.37,25252,35.5
no,debt_consolidation,no,24500,6.72,821.03,95000,25.16
no,debt_consolidation,no,33600,11.469999999999999,774.69,90000,19.53
no,small_business,no,25000,8.719999999999999,563.98,66000,6.53
yes,credit_card,no,28000,12.25,999.54,70000,35.3
no,debt_consolidation,no,2050,6.97,64.21,50000,10.83
yes,credit_card,no,15700,12.75,504.97,99000,9.91
no,debt_consolidation,no,6400,5.72,198.64,26000,14.08
yes,medical,no,25000,16,818.85,150000,39.1
yes,home_improvement,no,30000,12.5,1070.93,258000,10.8
no,debt_consolidation,no,10000,10.219999999999999,324.61,70000,28.84
yes,small_business,no,30000,16.25,1070.93,72000,27.03
yes,medical,no,20000,15.5,546.15,110000,10.39
no,medical,no,15000,10.469999999999999,513.25,153000,5.88
yes,medical,no,8400,19.25,312.18,30000,30.84
no,medical,no,29975,10.469999999999999,1039.83,109000,16.89
yes,debt_consolidation,no,15000,10.75,400.68,32000,35.75
no,debt_consolidation,no,7500,9.719999999999999,228.41,65000,8.86
no,small_business,no,3000,17,104.07,45000,37.57
no,debt_consolidation,no,20000,7.22,424.26,95000,22.7
yes,small_business,yes,30000,9,1114.91,101400,12.16
no,debt_consolidation,no,19500,9.469999999999999,676.36,92000,29.21
no,home_improvement,no,7300,6.47,222.35,88000,38.22
yes,credit_card,no,30000,18.5,794.82,60000,24.14
yes,small_business,no,10000,8.25,373.63,86000,14.34
no,medical,no,25000,9.969999999999999,761.46,144000,23.82
no,debt_consolidation,no,10000,8.719999999999999,212.08,90000,23.13
no,medical,no,2500,8.469999999999999,81.17,39000,8.74
yes,credit_card,no,10000,19.5,368.69,54000,22.67
yes,small_business,no,3025,16.75,109.46,96000,13.33
yes,debt_consolidation,yes,1000,19.25,38.67,24000,39.55
no,debt_consolidation,no,6300,11.719999999999999,195.54,59000,25.94
no,credit_card,no,25000,10.719999999999999,805.75,58000,20.28
no,credit_card,no,10000,9.719999999999999,310.33,48000,15.15
no,small_business,no,25000,6.22,555.99,165000,23.2
yes,small_business,no,20000,7.25,498.02,125000,19.62
no,home_improvement,no,28000,8.219999999999999,843.09,80000,26.43
no,debt_consolidation,no,40000,6.97,902.16,152000,10.34
no,debt_consolidation,no,30000,5.72,903.45,340000,7.72
no,debt_consolidation,yes,6000,7.47,201.04,75500,19.3
no,credit_card,no,28000,9.719999999999999,869.05,163000,6.46
no,debt_consolidation,no,9500,6.72,286.1,59000,5.26
no,small_business,no,20000,10.969999999999999,620.75,120000,23.82
yes,home_improvement,no,5000,8.25,180.92,48000,15.23
no,debt_consolidation,no,2000,11.969999999999999,67.95,80000,34.28
no,small_business,no,15000,7.97,483.52,60000,37.12
no,home_improvement,no,40000,11.219999999999999,922.05,265000,5.3
no,debt_consolidation,no,18000,11.219999999999999,588.54,3120,215.38
no,small_business,no,15000,7.72,345.77,45000,11.97
no,debt_consolidation,no,16000,8.219999999999999,496.6,89000,23.72
yes,medical,yes,33900,9.5,887.24,79040,29.97
yes,small_business,no,32000,16.5,820.45,75000,31.04
yes,small_business,no,20850,17.5,552.4,31000,23.96
no,debt_consolidation,no,5000,19,175.81,65000,24
no,medical,no,12000,9.719999999999999,410.6,108000,2.99
no,medical,no,10000,7.47,339.74,35000,31.34
yes,credit_card,no,36000,17.25,1345.06,46000,37.44
no,credit_card,no,12000,10.219999999999999,392.36,780000,3.1
no,home_improvement,no,40000,11.719999999999999,1241.5,500000,8.68
no,small_business,no,25000,8.969999999999999,811.51,150000,17.83
yes,medical,yes,10000,8.25,379.07,96500,2.38
no,credit_card,no,4200,10.969999999999999,137.33,31500,13.78
